Latitude,Longitude,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail Flags,Tail Twitches,Approaches,Indifferent,Runs From
40.776881164002100,-73.968491071227200,15F-PM-1010-05,PM,2018-10-10,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.773523264887200,-73.976867481294200,8B-PM-1012-02,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.769888524134900,-73.979708486661300,3A-PM-1017-06,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.792313040279300,-73.952819267977000,36I-AM-1017-02,AM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.769260262874500,-73.974563003849200,5E-AM-1008-06,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,true,false,false
40.790336578869400,-73.959500233950800,32E-PM-1017-13,PM,2018-10-17,Adult,Gray,,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.768948665796300,-73.974182499229400,5F-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,false,hiding nut,false,false,false,false,true,false,true,false
40.776139355178100,-73.974924390118900,11B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.778014344377900,-73.968381325559000,16E-PM-1018-06,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.775589812667400,-73.969424032750900,13F-AM-1007-02,AM,2018-10-07,Adult,Cinnamon,,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.782836473523600,-73.968900097895500,20B-PM-1013-10,PM,2018-10-13,Adult,Gray,Ground Plane,,false,false,false,false,true,drank from a pond of rain water,false,false,false,false,false,false,true,false
40.769675365598600,-73.980452886754700,3A-PM-1017-05,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false
40.787386251000100,-73.957624599245500,29H-PM-1006-01,PM,2018-10-06,Adult,Gray,Above Ground,,false,false,true,false,false,sitting,false,false,false,false,false,false,true,false
40.784509813156700,-73.966600793563800,23C-PM-1014-03,PM,2018-10-14,Adult,Gray,Above Ground,,false,true,false,false,false,chasing (#4 across trees),false,false,false,false,false,false,false,false
40.792264552190500,-73.961484836090000,33C-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false
